tgos_id,company_id,company_name,store_name,store_address,store_status,store_create_date,store_update_date,longitude,latitude
1014,16740494,全聯實業股份有限公司,吉安中山分公司,花蓮縣吉安鄉慶豐村中山路三段100、100-1、100-2號,1,1141218,       ,121.55522,23.986087
1015,16740494,全聯實業股份有限公司,鹿草國中分公司,嘉義縣鹿草鄉鹿草村鹿草路121號1樓,1,1141124,       ,120.312192,23.409134
1016,16740494,全聯實業股份有限公司,萬華柳州分公司,臺北市萬華區仁德里柳州街80號1、2樓,1,1141208,       ,121.504975,25.037282
1017,16740494,全聯實業股份有限公司,台中中平分公司,臺中市西屯區港尾里中平路1375號1、2樓及廣吉二街18號,1,1141216,       ,120.656377,24.195625
1018,16740494,全聯實業股份有限公司,苑裡為公分公司,苗栗縣苑裡鎮苑南里為公路65-1、65-2號,1,1140901,       ,120.652805,24.442834
1019,16740494,全聯實業股份有限公司,羅東林場分公司,宜蘭縣羅東鎮信義里倉前路20、22號,1,1140901,       ,121.768227,24.681394
1020,16740494,全聯實業股份有限公司,外埔六分分公司,臺中市外埔區大同里六分路297號,1,1140901,       ,120.654554,24.331759
1021,16740494,全聯實業股份有限公司,大同寧夏分公司,臺北市大同區雙連里民生西路239號1、2樓,1,1140909,       ,121.515248,25.057168
1022,16740494,全聯實業股份有限公司,嘉義興業東分公司,嘉義市東區豐年里興業東路97、99號,1,1140909,1141009,120.45408,23.469449
1023,16740494,全聯實業股份有限公司,歸仁中正南分公司,臺南市歸仁區武東里中正南路二段123號1樓,1,1140707,       ,120.275211,22.922346
1024,16740494,全聯實業股份有限公司,前鎮忠勤分公司,高雄市前鎮區忠純里忠勤路8號1樓,1,1140717,1140902,120.302771,22.603434
1025,16740494,全聯實業股份有限公司,三峽國光分公司,新北市三峽區龍埔里國光街83號1樓,1,1140718,       ,121.373808,24.938493
1026,16740494,全聯實業股份有限公司,仁德德安分公司,臺南市仁德區後壁里德安路156、158號1樓,1,1140609,       ,120.255377,22.948915
1027,16740494,全聯實業股份有限公司,台中博愛分公司,臺中市南屯區黎明里大業路611巷22號1、2樓,1,1140612,1141201,120.632867,24.153084
1028,16740494,全聯實業股份有限公司,三灣中正分公司,苗栗縣三灣鄉三灣村中正路358、360號,1,1140626,1140902,120.962738,24.659458
1029,16740494,全聯實業股份有限公司,鳳林信義分公司,花蓮縣鳳林鎮鳳信里信義路5、7號,1,1140804,       ,121.44828,23.74098
1030,16740494,全聯實業股份有限公司,大寮力行分公司,高雄市大寮區會社里力行路69、71號,1,1140804,       ,120.397924,22.604395
1031,16740494,全聯實業股份有限公司,斗六永安分公司,雲林縣斗六市忠孝里永安路27號,1,1140804,       ,120.547998,23.710197
